	chr	end	ensemblgene	start	strand
ENSMUSG00000019868	10	14581304	ENSMUSG00000019868	14530499	-1
ENSMUSG00000019872	10	57687926	ENSMUSG00000019872	57670431	1
ENSMUSG00000019873	10	66932724	ENSMUSG00000019873	66844968	-1
ENSMUSG00000019874	10	57664546	ENSMUSG00000019874	57660977	1
ENSMUSG00000019877	10	57408626	ENSMUSG00000019877	57391870	-1
ENSMUSG00000019878	10	57389231	ENSMUSG00000019878	57362481	1
ENSMUSG00000019880	10	29411863	ENSMUSG00000019880	29328412	-1
ENSMUSG00000019883	10	29223465	ENSMUSG00000019883	29189162	1
ENSMUSG00000019888	10	102227330	ENSMUSG00000019888	101517348	1
ENSMUSG00000019889	10	28473393	ENSMUSG00000019889	27950816	1
ENSMUSG00000019891	10	52197474	ENSMUSG00000019891	52109715	1
ENSMUSG00000019894	10	103255238	ENSMUSG00000019894	103203644	1
ENSMUSG00000019897	10	105683694	ENSMUSG00000019897	105676928	1
ENSMUSG00000019899	10	27495754	ENSMUSG00000019899	26856032	-1
ENSMUSG00000019907	10	108120336	ENSMUSG00000019907	107998054	1
ENSMUSG00000019916	10	59209126	ENSMUSG00000019916	59159118	1
ENSMUSG00000019917	10	59057669	ENSMUSG00000019917	58977449	-1
ENSMUSG00000019920	10	58260513	ENSMUSG00000019920	58159288	1
ENSMUSG00000019923	10	72510796	ENSMUSG00000019923	72490677	1
ENSMUSG00000019927	10	71121092	ENSMUSG00000019927	71090810	-1
ENSMUSG00000019929	10	97354005	ENSMUSG00000019929	97315471	1
ENSMUSG00000019942	10	69188768	ENSMUSG00000019942	69170976	-1
ENSMUSG00000019943	10	98862005	ENSMUSG00000019943	98750268	1
ENSMUSG00000019944	10	69127621	ENSMUSG00000019944	68987264	1
ENSMUSG00000019947	10	68114570	ENSMUSG00000019947	67928350	-1
ENSMUSG00000019948	10	89568157	ENSMUSG00000019948	89547833	-1
ENSMUSG00000019951	10	89655733	ENSMUSG00000019951	89580853	1
ENSMUSG00000019952	10	99033936	ENSMUSG00000019952	98942898	1
ENSMUSG00000019960	10	99103351	ENSMUSG00000019960	99099093	1
ENSMUSG00000019961	10	91017177	ENSMUSG00000019961	90983433	-1
ENSMUSG00000019966	10	99936278	ENSMUSG00000019966	99851492	1
ENSMUSG00000019969	12	83781973	ENSMUSG00000019969	83734926	1
ENSMUSG00000019970	10	21875802	ENSMUSG00000019970	21758083	1
ENSMUSG00000019971	10	100410702	ENSMUSG00000019971	100323420	1
ENSMUSG00000019975	10	90938469	ENSMUSG00000019975	90918802	1
ENSMUSG00000019977	10	21244797	ENSMUSG00000019977	21171878	1
ENSMUSG00000019978	10	25399417	ENSMUSG00000019978	25235696	1
ENSMUSG00000019979	10	90918632	ENSMUSG00000019979	90825173	-1
ENSMUSG00000019984	10	24789579	ENSMUSG00000019984	24745884	1
ENSMUSG00000019986	10	20956328	ENSMUSG00000019986	20828446	1
ENSMUSG00000019988	10	92558282	ENSMUSG00000019988	92520608	-1
ENSMUSG00000019989	10	24718721	ENSMUSG00000019989	24648304	-1
ENSMUSG00000019990	10	20600824	ENSMUSG00000019990	20273750	-1
ENSMUSG00000019992	10	20237050	ENSMUSG00000019992	20223516	1
ENSMUSG00000019997	10	24474581	ENSMUSG00000019997	24471340	1
ENSMUSG00000019998	10	24066120	ENSMUSG00000019998	24025200	1
ENSMUSG00000020000	10	24178688	ENSMUSG00000020000	24099415	1
ENSMUSG00000020003	10	19783435	ENSMUSG00000020003	19729646	-1
ENSMUSG00000020009	10	19485977	ENSMUSG00000020009	19467697	1
ENSMUSG00000020015	10	93102933	ENSMUSG00000020015	92996737	1
ENSMUSG00000020018	10	93425568	ENSMUSG00000020018	93418891	-1
ENSMUSG00000020019	10	93583069	ENSMUSG00000020019	93476543	1
ENSMUSG00000020021	10	93981201	ENSMUSG00000020021	93871863	1
ENSMUSG00000020022	10	94057305	ENSMUSG00000020022	94034582	1
ENSMUSG00000020023	10	94426818	ENSMUSG00000020023	94147811	1
ENSMUSG00000020024	10	94626715	ENSMUSG00000020024	94524516	1
ENSMUSG00000020027	10	95253042	ENSMUSG00000020027	95221224	-1
ENSMUSG00000020029	10	95400008	ENSMUSG00000020029	95382869	-1
ENSMUSG00000020032	10	84276461	ENSMUSG00000020032	84206769	-1
ENSMUSG00000020034	10	84450223	ENSMUSG00000020034	84412490	1
ENSMUSG00000020038	10	85020928	ENSMUSG00000020038	84967564	-1
ENSMUSG00000020042	10	85496156	ENSMUSG00000020042	85222678	1
ENSMUSG00000020044	10	86185370	ENSMUSG00000020044	86136236	1
ENSMUSG00000020048	10	86541373	ENSMUSG00000020048	86526073	-1
ENSMUSG00000020053	10	87772904	ENSMUSG00000020053	87694127	1
ENSMUSG00000020056	10	88082020	ENSMUSG00000020056	88036955	1
ENSMUSG00000020057	10	88214942	ENSMUSG00000020057	88158666	-1
ENSMUSG00000020063	10	63217483	ENSMUSG00000020063	63154784	-1
ENSMUSG00000020064	10	63153657	ENSMUSG00000020064	63079589	1
ENSMUSG00000020069	10	62859996	ENSMUSG00000020069	62850443	-1
ENSMUSG00000020070	10	62852989	ENSMUSG00000020070	62816002	1
ENSMUSG00000020072	10	62894592	ENSMUSG00000020072	62860094	1
ENSMUSG00000020074	10	62628065	ENSMUSG00000020074	62579707	-1
ENSMUSG00000020075	10	62438060	ENSMUSG00000020075	62416030	-1
ENSMUSG00000020076	10	62486997	ENSMUSG00000020076	62451674	-1
ENSMUSG00000020078	10	62322584	ENSMUSG00000020078	62291014	-1
ENSMUSG00000020079	10	62285517	ENSMUSG00000020079	62264988	-1
ENSMUSG00000020083	10	61979699	ENSMUSG00000020083	61943434	-1
ENSMUSG00000020085	10	61575039	ENSMUSG00000020085	61551042	1
ENSMUSG00000020086	10	61619926	ENSMUSG00000020086	61574444	-1
ENSMUSG00000020087	10	61538552	ENSMUSG00000020087	61531293	1
ENSMUSG00000020088	10	61529076	ENSMUSG00000020088	61516078	1
ENSMUSG00000020089	10	61509947	ENSMUSG00000020089	61484331	1
ENSMUSG00000020091	10	61288440	ENSMUSG00000020091	61264270	-1
ENSMUSG00000020092	10	61219309	ENSMUSG00000020092	61155435	-1
ENSMUSG00000020097	10	60983482	ENSMUSG00000020097	60934421	-1
ENSMUSG00000020098	10	60930103	ENSMUSG00000020098	60925110	1
ENSMUSG00000020099	10	60667360	ENSMUSG00000020099	60598372	-1
ENSMUSG00000020100	10	60588573	ENSMUSG00000020100	60547851	-1
ENSMUSG00000020101	10	60208463	ENSMUSG00000020101	60182630	1
ENSMUSG00000020102	10	125225334	ENSMUSG00000020102	125055139	-1
ENSMUSG00000020105	10	125851228	ENSMUSG00000020105	125802037	1
ENSMUSG00000020107	10	59838957	ENSMUSG00000020107	59823231	-1
ENSMUSG00000020108	10	59787656	ENSMUSG00000020108	59785491	-1
ENSMUSG00000020109	10	59735124	ENSMUSG00000020109	59715378	1
ENSMUSG00000020111	10	59699954	ENSMUSG00000020111	59538299	1
ENSMUSG00000020114	10	119075960	ENSMUSG00000020114	119035160	-1
ENSMUSG00000020115	10	121422692	ENSMUSG00000020115	121382360	-1
ENSMUSG00000020116	11	17161568	ENSMUSG00000020116	17153198	-1
ENSMUSG00000020120	11	17002381	ENSMUSG00000020120	16921206	-1
ENSMUSG00000020121	10	121883220	ENSMUSG00000020121	121616896	-1
ENSMUSG00000020122	11	16868158	ENSMUSG00000020122	16702203	1
ENSMUSG00000020123	10	122289357	ENSMUSG00000020123	122284404	1
ENSMUSG00000020124	10	123032900	ENSMUSG00000020124	122940911	-1
ENSMUSG00000020128	11	21271136	ENSMUSG00000020128	21189281	1
ENSMUSG00000020130	10	115087372	ENSMUSG00000020130	115033777	-1
ENSMUSG00000020131	10	80165332	ENSMUSG00000020131	80157117	-1
ENSMUSG00000020132	10	115151499	ENSMUSG00000020132	115122989	-1
ENSMUSG00000020133	10	80156371	ENSMUSG00000020133	80154088	-1
ENSMUSG00000020134	11	21100323	ENSMUSG00000020134	21041291	1
ENSMUSG00000020137	10	115220348	ENSMUSG00000020137	115204309	-1
ENSMUSG00000020140	10	115423685	ENSMUSG00000020140	115286216	-1
ENSMUSG00000020142	11	20282713	ENSMUSG00000020142	20252180	-1
ENSMUSG00000020149	11	20176856	ENSMUSG00000020149	20151432	1
ENSMUSG00000020150	10	80096846	ENSMUSG00000020150	80093985	-1
ENSMUSG00000020151	10	116110837	ENSMUSG00000020151	115854118	1
ENSMUSG00000020152	11	20062913	ENSMUSG00000020152	20012304	-1
ENSMUSG00000020153	10	80092628	ENSMUSG00000020153	80084955	1
ENSMUSG00000020154	10	116225440	ENSMUSG00000020154	116111428	1
ENSMUSG00000020155	11	33923641	ENSMUSG00000020155	33913013	1
ENSMUSG00000020156	10	80079737	ENSMUSG00000020156	80062268	1
ENSMUSG00000020160	11	18968985	ENSMUSG00000020160	18829817	-1
ENSMUSG00000020163	10	80242664	ENSMUSG00000020163	80238831	-1
ENSMUSG00000020166	10	116417416	ENSMUSG00000020166	116321066	-1
ENSMUSG00000020167	10	80269481	ENSMUSG00000020167	80245348	-1
ENSMUSG00000020170	10	116984439	ENSMUSG00000020170	116905332	-1
ENSMUSG00000020171	10	117060412	ENSMUSG00000020171	117051126	-1
ENSMUSG00000020173	11	12414960	ENSMUSG00000020173	12186608	-1
ENSMUSG00000020175	10	74890580	ENSMUSG00000020175	74872890	1
ENSMUSG00000020176	11	11988683	ENSMUSG00000020176	11880508	-1
ENSMUSG00000020180	10	75373215	ENSMUSG00000020180	75353385	1
ENSMUSG00000020181	10	110292065	ENSMUSG00000020181	109517120	-1
ENSMUSG00000020183	10	117523257	ENSMUSG00000020183	117465405	1
ENSMUSG00000020184	10	117546663	ENSMUSG00000020184	117524780	-1
ENSMUSG00000020185	10	110623245	ENSMUSG00000020185	110581300	1
ENSMUSG00000020186	10	110775483	ENSMUSG00000020186	110755650	1
ENSMUSG00000020189	10	111133110	ENSMUSG00000020189	111000613	1
ENSMUSG00000020190	10	80513946	ENSMUSG00000020190	80501161	-1
ENSMUSG00000020191	11	11465192	ENSMUSG00000020191	11412094	1
ENSMUSG00000020196	10	75600175	ENSMUSG00000020196	75481946	-1
ENSMUSG00000020198	10	80578098	ENSMUSG00000020198	80542790	-1
ENSMUSG00000020205	10	111344506	ENSMUSG00000020205	111342147	1
ENSMUSG00000020211	10	80640758	ENSMUSG00000020211	80634032	1
ENSMUSG00000020212	10	118004902	ENSMUSG00000020212	117977716	1
ENSMUSG00000020219	10	80736803	ENSMUSG00000020219	80735284	-1
ENSMUSG00000020220	4	144921575	ENSMUSG00000020220	144699192	-1
ENSMUSG00000020224	10	120068487	ENSMUSG00000020224	120062975	1
ENSMUSG00000020225	10	120060822	ENSMUSG00000020225	120037495	1
ENSMUSG00000020226	10	75946795	ENSMUSG00000020226	75893328	-1
ENSMUSG00000020227	10	120038035	ENSMUSG00000020227	119977553	-1
ENSMUSG00000020228	10	119948892	ENSMUSG00000020228	119919513	-1
ENSMUSG00000020230	10	76073699	ENSMUSG00000020230	76043056	-1
ENSMUSG00000020231	10	76181125	ENSMUSG00000020231	76095263	-1
ENSMUSG00000020232	10	81186314	ENSMUSG00000020232	81181882	-1
ENSMUSG00000020235	10	81214350	ENSMUSG00000020235	81202056	-1
ENSMUSG00000020238	10	81332226	ENSMUSG00000020238	81322083	-1
ENSMUSG00000020241	10	76459464	ENSMUSG00000020241	76431596	-1
ENSMUSG00000020246	10	82578262	ENSMUSG00000020246	82531994	1
ENSMUSG00000020248	10	82599978	ENSMUSG00000020248	82584535	-1
ENSMUSG00000020250	10	82733546	ENSMUSG00000020250	82669785	1
ENSMUSG00000020251	10	82526484	ENSMUSG00000020251	82486267	-1
ENSMUSG00000020253	9	106076945	ENSMUSG00000020253	106072146	-1
ENSMUSG00000020255	10	83324369	ENSMUSG00000020255	83196085	1
ENSMUSG00000020256	10	83370004	ENSMUSG00000020256	83323314	-1
ENSMUSG00000020257	9	106068338	ENSMUSG00000020257	106048127	1
ENSMUSG00000020260	10	77105409	ENSMUSG00000020260	77095052	1
ENSMUSG00000020261	11	55127156	ENSMUSG00000020261	55095176	1
ENSMUSG00000020262	10	77254104	ENSMUSG00000020262	77126560	-1
ENSMUSG00000020263	10	83484602	ENSMUSG00000020263	83435897	-1
ENSMUSG00000020265	10	77454165	ENSMUSG00000020265	77441931	1
ENSMUSG00000020267	11	54761327	ENSMUSG00000020267	54757209	1
ENSMUSG00000020268	11	54751742	ENSMUSG00000020268	54717692	-1
ENSMUSG00000020271	11	32696816	ENSMUSG00000020271	32592724	1
ENSMUSG00000020272	11	32574587	ENSMUSG00000020272	32483305	1
ENSMUSG00000020273	11	23845253	ENSMUSG00000020273	23812646	-1
ENSMUSG00000020275	11	23720970	ENSMUSG00000020275	23686847	-1
ENSMUSG00000020277	10	77845917	ENSMUSG00000020277	77822781	-1
ENSMUSG00000020280	11	23682876	ENSMUSG00000020280	23615674	1
ENSMUSG00000020282	11	32172300	ENSMUSG00000020282	32159585	-1
ENSMUSG00000020283	11	23615959	ENSMUSG00000020283	23596479	-1
ENSMUSG00000020284	10	77822739	ENSMUSG00000020284	77814358	1
ENSMUSG00000020287	11	32182700	ENSMUSG00000020287	32176505	1
ENSMUSG00000020288	11	23448030	ENSMUSG00000020288	23437882	-1
ENSMUSG00000020289	11	32217707	ENSMUSG00000020289	32175628	-1
ENSMUSG00000020290	11	23248249	ENSMUSG00000020290	23206041	1
ENSMUSG00000020300	11	31885634	ENSMUSG00000020300	31822211	1
ENSMUSG00000020303	11	31320074	ENSMUSG00000020303	31307307	-1
ENSMUSG00000020305	11	31052704	ENSMUSG00000020305	30835416	1
ENSMUSG00000020307	10	79524232	ENSMUSG00000020307	79518029	1
ENSMUSG00000020308	10	79511961	ENSMUSG00000020308	79505203	1
ENSMUSG00000020309	11	30936350	ENSMUSG00000020309	30926707	-1
ENSMUSG00000020311	11	30904335	ENSMUSG00000020311	30880774	-1
ENSMUSG00000020312	10	79473752	ENSMUSG00000020312	79453885	-1
ENSMUSG00000020315	11	30218175	ENSMUSG00000020315	30049395	-1
ENSMUSG00000020319	11	21848989	ENSMUSG00000020319	21522235	1
ENSMUSG00000020321	11	21522367	ENSMUSG00000020321	21506692	-1
ENSMUSG00000020325	10	79618464	ENSMUSG00000020325	79613106	1
ENSMUSG00000020326	11	40646138	ENSMUSG00000020326	40639379	-1
ENSMUSG00000020328	11	40630873	ENSMUSG00000020328	40624494	1
ENSMUSG00000020329	10	79582415	ENSMUSG00000020329	79571957	-1
ENSMUSG00000020330	11	40624249	ENSMUSG00000020330	40592222	-1
ENSMUSG00000020332	11	54317616	ENSMUSG00000020332	54261478	1
ENSMUSG00000020333	11	54255582	ENSMUSG00000020333	54194624	1
ENSMUSG00000020334	11	53918916	ENSMUSG00000020334	53873949	-1
ENSMUSG00000020335	11	50822460	ENSMUSG00000020335	50812650	-1
ENSMUSG00000020340	11	46203686	ENSMUSG00000020340	46084677	-1
ENSMUSG00000020346	11	49153857	ENSMUSG00000020346	49135018	1
ENSMUSG00000020349	11	52018605	ENSMUSG00000020349	51989508	1
ENSMUSG00000020354	11	47879796	ENSMUSG00000020354	46787080	-1
ENSMUSG00000020357	11	49543566	ENSMUSG00000020357	49500090	1
ENSMUSG00000020358	11	51497674	ENSMUSG00000020358	51490927	-1
ENSMUSG00000020359	11	51495316	ENSMUSG00000020359	51475584	1
ENSMUSG00000020361	11	53191284	ENSMUSG00000020361	53150641	-1
ENSMUSG00000020362	11	49603550	ENSMUSG00000020362	49562330	-1
ENSMUSG00000020363	11	49729440	ENSMUSG00000020363	49685005	1
ENSMUSG00000020364	11	50963626	ENSMUSG00000020364	50950084	1
ENSMUSG00000020366	11	49777248	ENSMUSG00000020366	49737578	1
ENSMUSG00000020368	11	50216500	ENSMUSG00000020368	50184788	-1
ENSMUSG00000020372	11	48697261	ENSMUSG00000020372	48691159	1
ENSMUSG00000020375	11	50321952	ENSMUSG00000020375	50280113	-1
ENSMUSG00000020376	11	50016546	ENSMUSG00000020376	49916173	1
ENSMUSG00000020380	11	53598146	ENSMUSG00000020380	53540346	-1
ENSMUSG00000020381	11	50090942	ENSMUSG00000020381	50065271	1
ENSMUSG00000020385	11	51172593	ENSMUSG00000020385	51152557	1
ENSMUSG00000020386	11	51682752	ENSMUSG00000020386	51654514	1
ENSMUSG00000020387	11	51748480	ENSMUSG00000020387	51704282	-1
ENSMUSG00000020388	11	53959840	ENSMUSG00000020388	53945754	-1
ENSMUSG00000020389	11	51980611	ENSMUSG00000020389	51895048	1
ENSMUSG00000020390	11	51891589	ENSMUSG00000020390	51876324	-1
ENSMUSG00000020392	11	51868161	ENSMUSG00000020392	51858488	1
ENSMUSG00000020393	11	5211558	ENSMUSG00000020393	5141552	-1
ENSMUSG00000020397	11	46333548	ENSMUSG00000020397	46327752	1
ENSMUSG00000020399	11	46372082	ENSMUSG00000020399	46345762	1
ENSMUSG00000020400	11	54853743	ENSMUSG00000020400	54801611	-1
ENSMUSG00000020402	11	52280224	ENSMUSG00000020402	52251687	1
ENSMUSG00000020407	11	9086170	ENSMUSG00000020407	9068103	1
ENSMUSG00000020409	11	43338808	ENSMUSG00000020409	43324571	1
ENSMUSG00000020411	11	46057335	ENSMUSG00000020411	46038982	-1
ENSMUSG00000020412	11	4635699	ENSMUSG00000020412	4587747	1
ENSMUSG00000020413	11	8961191	ENSMUSG00000020413	8943137	-1
ENSMUSG00000020415	11	43317078	ENSMUSG00000020415	43311077	-1
ENSMUSG00000020420	7	27580250	ENSMUSG00000020420	27556952	1
ENSMUSG00000020422	11	8614681	ENSMUSG00000020422	8381652	-1
ENSMUSG00000020423	1	134006858	ENSMUSG00000020423	134002908	-1
ENSMUSG00000020424	11	4172409	ENSMUSG00000020424	4168225	1
ENSMUSG00000020427	11	7163923	ENSMUSG00000020427	7156086	-1
ENSMUSG00000020430	11	3930004	ENSMUSG00000020430	3913975	1
ENSMUSG00000020431	11	7128506	ENSMUSG00000020431	7013489	1
ENSMUSG00000020432	11	3882159	ENSMUSG00000020432	3867192	-1
ENSMUSG00000020439	11	3490612	ENSMUSG00000020439	3467523	-1
ENSMUSG00000020440	6	28426601	ENSMUSG00000020440	28423559	1
ENSMUSG00000020441	11	59101564	ENSMUSG00000020441	59099147	1
ENSMUSG00000020444	11	59083038	ENSMUSG00000020444	59074701	-1
ENSMUSG00000020448	11	3402363	ENSMUSG00000020448	3365982	-1
ENSMUSG00000020451	11	3359189	ENSMUSG00000020451	3294256	-1
ENSMUSG00000020453	11	3259083	ENSMUSG00000020453	3238874	1
ENSMUSG00000020454	11	3194588	ENSMUSG00000020454	3152392	1
ENSMUSG00000020455	11	58882284	ENSMUSG00000020455	58868919	1
ENSMUSG00000020456	11	6306642	ENSMUSG00000020456	6241633	1
ENSMUSG00000020457	11	3216415	ENSMUSG00000020457	3137360	-1
ENSMUSG00000020458	11	29694331	ENSMUSG00000020458	29642947	1
ENSMUSG00000020459	11	29495279	ENSMUSG00000020459	29476408	1
ENSMUSG00000020460	11	29498109	ENSMUSG00000020460	29495846	-1
ENSMUSG00000020462	11	29197409	ENSMUSG00000020462	29171532	-1
ENSMUSG00000020463	11	29170797	ENSMUSG00000020463	29122890	1
ENSMUSG00000020464	11	29111828	ENSMUSG00000020464	29080744	1
ENSMUSG00000020467	11	28876743	ENSMUSG00000020467	28803204	1
ENSMUSG00000020471	11	5828292	ENSMUSG00000020471	5822180	-1
ENSMUSG00000020472	11	59417577	ENSMUSG00000020472	59376346	-1
ENSMUSG00000020473	11	5822088	ENSMUSG00000020473	5811947	1
ENSMUSG00000020474	11	5788016	ENSMUSG00000020474	5777860	-1
ENSMUSG00000020475	11	5753733	ENSMUSG00000020475	5751640	-1
ENSMUSG00000020476	11	5750962	ENSMUSG00000020476	5738488	1
ENSMUSG00000020477	11	5665680	ENSMUSG00000020477	5653983	-1
ENSMUSG00000020481	11	5639337	ENSMUSG00000020481	5519684	1
ENSMUSG00000020482	11	5492187	ENSMUSG00000020482	5478887	-1
ENSMUSG00000020483	11	87878359	ENSMUSG00000020483	87870351	-1
ENSMUSG00000020484	11	5475893	ENSMUSG00000020484	5470659	1
ENSMUSG00000020485	11	87634449	ENSMUSG00000020485	87628378	1
ENSMUSG00000020491	11	58774114	ENSMUSG00000020491	58758042	1
ENSMUSG00000020492	11	87015461	ENSMUSG00000020492	87000060	1
ENSMUSG00000020493	11	86999534	ENSMUSG00000020493	86979979	-1
ENSMUSG00000020495	11	86977600	ENSMUSG00000020495	86968558	-1
ENSMUSG00000020496	11	58829742	ENSMUSG00000020496	58823114	-1
ENSMUSG00000020513	11	86458186	ENSMUSG00000020513	86435817	1
ENSMUSG00000020514	11	58070391	ENSMUSG00000020514	58062487	1
ENSMUSG00000020515	11	58009420	ENSMUSG00000020515	57994979	1
ENSMUSG00000020516	11	86435631	ENSMUSG00000020516	86389697	-1
ENSMUSG00000020519	11	57701043	ENSMUSG00000020519	57692463	1
ENSMUSG00000020520	11	57678340	ENSMUSG00000020520	57536268	1
ENSMUSG00000020521	11	86389851	ENSMUSG00000020521	86375483	1
ENSMUSG00000020522	11	57424641	ENSMUSG00000020522	57409490	1
ENSMUSG00000020523	11	57409443	ENSMUSG00000020523	57373819	-1
ENSMUSG00000020525	11	85237892	ENSMUSG00000020525	85202070	1
ENSMUSG00000020526	11	84807192	ENSMUSG00000020526	84801776	-1
ENSMUSG00000020527	11	84802052	ENSMUSG00000020527	84770974	1
ENSMUSG00000020528	11	61652914	ENSMUSG00000020528	61620476	-1
ENSMUSG00000020530	11	84761643	ENSMUSG00000020530	84723187	-1
ENSMUSG00000020532	11	84292477	ENSMUSG00000020532	84020498	1
ENSMUSG00000020534	11	60702544	ENSMUSG00000020534	60678930	-1
ENSMUSG00000020536	11	60605012	ENSMUSG00000020536	60590549	1
ENSMUSG00000020537	11	60359580	ENSMUSG00000020537	60345417	1
ENSMUSG00000020538	11	60113407	ENSMUSG00000020538	60089915	-1
ENSMUSG00000020541	11	90579192	ENSMUSG00000020541	90534291	-1
ENSMUSG00000020544	11	90535757	ENSMUSG00000020544	90528999	1
ENSMUSG00000020546	11	90528910	ENSMUSG00000020546	90367318	-1
ENSMUSG00000020547	12	36208079	ENSMUSG00000020547	36141834	-1
ENSMUSG00000020549	11	64892895	ENSMUSG00000020549	64869864	1
ENSMUSG00000020553	11	89893720	ENSMUSG00000020553	89873491	-1
ENSMUSG00000020561	12	33491391	ENSMUSG00000020561	33479634	1
ENSMUSG00000020564	12	33423184	ENSMUSG00000020564	33197692	1
ENSMUSG00000020570	12	33029859	ENSMUSG00000020570	33003890	1
ENSMUSG00000020571	12	17334771	ENSMUSG00000020571	17316546	1
ENSMUSG00000020572	12	32903348	ENSMUSG00000020572	32869544	1
ENSMUSG00000020576	12	13633812	ENSMUSG00000020576	13319134	1
ENSMUSG00000020580	12	17037824	ENSMUSG00000020580	16944896	1
ENSMUSG00000020585	12	8988742	ENSMUSG00000020585	8971664	1
ENSMUSG00000020589	12	12430966	ENSMUSG00000020589	12312140	1
ENSMUSG00000020590	12	35197478	ENSMUSG00000020590	35097185	1
ENSMUSG00000020592	12	8843715	ENSMUSG00000020592	8821323	1
ENSMUSG00000020593	12	16696967	ENSMUSG00000020593	16585670	-1
ENSMUSG00000020594	12	8802581	ENSMUSG00000020594	8724134	1
ENSMUSG00000020598	12	44648747	ENSMUSG00000020598	44375668	1
ENSMUSG00000020601	12	15866923	ENSMUSG00000020601	15841728	-1
ENSMUSG00000020604	11	109464156	ENSMUSG00000020604	109364200	1
ENSMUSG00000020605	12	8393824	ENSMUSG00000020605	8363432	1
ENSMUSG00000020608	12	11369786	ENSMUSG00000020608	11315887	1
ENSMUSG00000020610	11	109343639	ENSMUSG00000020610	109316772	1
ENSMUSG00000020611	11	109292195	ENSMUSG00000020611	109253657	1
ENSMUSG00000020612	11	109560482	ENSMUSG00000020612	109540231	1
ENSMUSG00000020614	11	109613105	ENSMUSG00000020614	109560575	-1
ENSMUSG00000020620	11	109886671	ENSMUSG00000020620	109823016	-1
ENSMUSG00000020621	12	10445562	ENSMUSG00000020621	10440772	1
ENSMUSG00000020623	11	110416348	ENSMUSG00000020623	110289948	1
ENSMUSG00000020627	12	5425682	ENSMUSG00000020627	5127472	-1
ENSMUSG00000020628	12	28800471	ENSMUSG00000020628	28740627	-1
ENSMUSG00000020629	12	28732174	ENSMUSG00000020629	28725230	1
ENSMUSG00000020630	12	28709588	ENSMUSG00000020630	28699601	1
ENSMUSG00000020634	12	4957705	ENSMUSG00000020634	4929032	-1
ENSMUSG00000020635	12	4891591	ENSMUSG00000020635	4883174	-1
ENSMUSG00000020639	12	4828813	ENSMUSG00000020639	4819022	1
ENSMUSG00000020640	12	4763962	ENSMUSG00000020640	4642638	1
ENSMUSG00000020642	12	26465253	ENSMUSG00000020642	26350963	-1
ENSMUSG00000020644	12	25147139	ENSMUSG00000020644	25143798	-1
ENSMUSG00000020646	12	25014396	ENSMUSG00000020646	24880878	1
ENSMUSG00000020647	12	4527182	ENSMUSG00000020647	4297362	-1
ENSMUSG00000020648	12	31704825	ENSMUSG00000020648	31690049	-1
ENSMUSG00000020649	12	24764145	ENSMUSG00000020649	24758240	1
ENSMUSG00000020650	12	31684657	ENSMUSG00000020650	31640966	-1
ENSMUSG00000020652	12	4284294	ENSMUSG00000020652	4246004	-1
ENSMUSG00000020653	12	24712788	ENSMUSG00000020653	24701273	1
ENSMUSG00000020654	12	4263525	ENSMUSG00000020654	4183103	1
ENSMUSG00000020657	12	4160606	ENSMUSG00000020657	4132583	1
ENSMUSG00000020658	12	4088915	ENSMUSG00000020658	4012554	-1
ENSMUSG00000020659	12	31549615	ENSMUSG00000020659	31534828	-1
ENSMUSG00000020660	12	4010642	ENSMUSG00000020660	4004951	1
ENSMUSG00000020661	12	3964443	ENSMUSG00000020661	3856007	1
ENSMUSG00000020664	12	31401452	ENSMUSG00000020664	31381276	-1
ENSMUSG00000020668	12	3456494	ENSMUSG00000020668	3415132	1
ENSMUSG00000020669	12	31010161	ENSMUSG00000020669	30961667	1
ENSMUSG00000020671	12	3359969	ENSMUSG00000020671	3297428	-1
ENSMUSG00000020674	12	30067657	ENSMUSG00000020674	29987607	1
ENSMUSG00000020676	11	81953781	ENSMUSG00000020676	81948649	1
ENSMUSG00000020677	11	83853914	ENSMUSG00000020677	83832888	1
ENSMUSG00000020680	11	83397569	ENSMUSG00000020680	83363912	1
ENSMUSG00000020682	11	83353897	ENSMUSG00000020682	83331594	-1
ENSMUSG00000020687	11	104441446	ENSMUSG00000020687	104393571	-1
ENSMUSG00000020689	11	104561302	ENSMUSG00000020689	104498826	1
ENSMUSG00000020691	11	105031220	ENSMUSG00000020691	105017251	1
ENSMUSG00000020692	11	82799237	ENSMUSG00000020692	82791594	-1
ENSMUSG00000020694	11	105174785	ENSMUSG00000020694	105069633	1
ENSMUSG00000020695	11	105241965	ENSMUSG00000020695	105183469	1
ENSMUSG00000020696	11	82762036	ENSMUSG00000020696	82693275	-1
ENSMUSG00000020697	11	82695100	ENSMUSG00000020697	82671934	1
ENSMUSG00000020700	11	106046272	ENSMUSG00000020700	105975439	1
ENSMUSG00000020705	11	106139965	ENSMUSG00000020705	106107752	1
ENSMUSG00000020706	11	106146905	ENSMUSG00000020706	106139968	-1
ENSMUSG00000020707	11	80090583	ENSMUSG00000020707	80074677	1
ENSMUSG00000020708	11	106153946	ENSMUSG00000020708	106146980	1
ENSMUSG00000020715	11	106378678	ENSMUSG00000020715	106285476	-1
ENSMUSG00000020716	11	79472438	ENSMUSG00000020716	79230519	1
ENSMUSG00000020718	11	106670363	ENSMUSG00000020718	106659079	-1
ENSMUSG00000020719	11	106680011	ENSMUSG00000020719	106671181	-1
